Genus,species,common_name,Museum,Catalogue_number,BrVol_mmcube,BrSA_mmsquared_withBloodv_Trig,BrSA_mmsquared,Occ_Hinge_mm,OptLSA_R_mmsquared,OptLSA_L_mmsquared,Wulst_mmsquared,OptFD_R_mm,OptFD_L_mm,OrbitD_R_mm,OrbitD_L_mm,2D_OrbP_Degrees,2D_OrbS_Degrees,OrbP_Degrees,OrbS_Degrees,OrbPS_R_Degrees,OrbPS_L_Degrees,OrbPtoB_Degrees,OrbStoB_Degrees,Orbit_P_Width_mm,Orbit_S_Width_mm,Top_Brow_mm,OptF_Type,Main_Prey_Location,Sex,Foraging_Tactic,Second_Foraging_Tactic,Voxel_size_isotropic_mm,Scan_Facility
Accipiter,cirrocephalus,collared_sparrowhawk,QM,O28021,2185.43,1217.07,1213.54,25.18,89.7657,85.8446,60.955,2.67,2.68,15.24,15.45,60.86,36.86,57.02,29.14,27.25,27.83,68.96,44.79,23.3,6.48,8.48,Open,Air,Male,Perch_hunting,Quartering,0.0349,CAI
Accipiter,cirrocephalus,collared_sparrowhawk,QM,O33127,3467.08,1642.45,1638.3,32.74,114.7644,116.2985,95.3876,3.4,3.38,20.94,19.99,58.04,40.24,57.96,33.42,26.57,26.38,70.17,54.48,32.17,9.02,11.11,Open,Air,NA,Perch_hunting,Quartering,0.0349,CAI
Accipiter,fasciatus,brown_goshawk,QM,O27177,3966.97,1748.33,1741.52,33.1,122.8241,121.0089,110.6276,3.64,3.53,21.34,21.68,61.78,34.66,60.59,28.78,31.08,31.77,72.34,43.42,33.52,8.18,11.38,Open,Ground,Male,Still_hunting,Low_soaring,0.0349,CAI
Accipiter,fasciatus,brown_goshawk,QM,O31415,3851.84,1770.16,1758.33,34.14,112.5492,112.1165,93.3826,3.68,3.64,21.19,21.18,62.95,39.32,60.24,36.96,30.27,30.95,69.62,58.41,33.64,9.1,11.75,Open,Ground,Male,Still_hunting,Low_soaring,0.0349,CAI
Accipiter,novaehollandiae,grey_goshawk,QM,O21015,6300.61,2473.09,2461.83,38.35,133.4403,126.1044,169.1501,3.86,3.85,24.79,24.85,62.66,39.11,60.78,33.97,26.85,25.33,73.91,50.46,39.65,13.12,14.28,Very_Open,Ground,NA,Still_hunting,Quartering,0.0349,CAI
Accipiter,novaehollandiae,grey_goshawk,QM,O31715,4879.66,2085.06,2071.09,38.09,130.4012,128.9904,121.4475,3.85,3.92,24.92,25.21,66.88,39.71,61.16,34.68,26.32,27.77,77.44,55.47,39.81,13.62,13.66,Small_Open,Ground,Female,Still_hunting,Quartering,0.0349,CAI
Aviceda,subcristata,Pacific_baza,QM,O27879,4065.92,1700.75,1698.33,35.96,111.1054,112.9828,112.2885,3.93,3.92,26.22,27.05,40.43,13.58,40.88,11.99,28.12,27.29,60.82,30.21,37.7,7.56,15.92,Too_Open,Trees,Female,Still_hunting,Quartering,0.0349,CAI
Aviceda,subcristata,Pacific_baza,QM,O31396,4649.25,1880.77,1877.05,37.01,125.4507,123.9947,137.5001,3.78,NA,28.33,28.45,34.65,12.77,36.91,13.04,27.85,27.9,55.4,36.29,36.6,8.72,15.91,Too_Open,Trees,Female,Still_hunting,Quartering,0.0349,CAI
Circus,assimilis,spotted_harrier,QM,O32657,5726.77,2451.54,2444.25,39.72,164.8656,160.7931,174.2456,4.25,3.95,23.51,23.73,75.97,34.4,75.51,35.08,34.78,31.4,82.03,41.89,42.55,11.19,11.88,Very_Open,Ground,NA,Hovering,Quartering,0.0349,CAI
Circus,assimilis,spotted_harrier,SAM,B55529,5863.18,2592.04,2581.51,38.45,158.4771,159.0759,164.9178,3.96,3.99,23.19,23.79,78.95,37.87,78.54,38.47,39.87,38.51,78.9,39.41,41.29,8.48,11.05,Very_Open,Ground,NA,Hovering,Quartering,0.207,AD_MIC
